dataset,nmf,noise_type,noise_level,seed,rmse,acc,nmi
ORL,L1NormRegularizedNMF,uniform,0.1,0,0.11205587631616927,0.7,0.8375185532003521
YaleB,L1NormRegularizedNMF,uniform,0.1,0,0.12386594777071679,0.16114180478821363,0.25967518103714315
ORL,L1NormRegularizedNMF,uniform,0.1,42,0.11315829106290641,0.6416666666666667,0.8005573242887644
YaleB,L1NormRegularizedNMF,uniform,0.1,42,0.12340792343918469,0.15837937384898712,0.24270427805414843
ORL,L1NormRegularizedNMF,uniform,0.1,99,0.11272286698331209,0.6833333333333333,0.8178245404052498
YaleB,L1NormRegularizedNMF,uniform,0.1,99,0.12392896180863457,0.15101289134438306,0.23084049076758872
ORL,L1NormRegularizedNMF,uniform,0.1,512,0.1117069827346632,0.6666666666666666,0.8136884642199167
YaleB,L1NormRegularizedNMF,uniform,0.1,512,0.12346360896859769,0.15699815837937384,0.24233111835015772
ORL,L1NormRegularizedNMF,uniform,0.1,3407,0.11295182855911888,0.7111111111111111,0.8354612952185081
YaleB,L1NormRegularizedNMF,uniform,0.1,3407,0.12296089630877145,0.15331491712707182,0.22410485185152176
ORL,L1NormRegularizedNMF,uniform,0.3,0,0.24322261781296045,0.625,0.7882949658713008
YaleB,L1NormRegularizedNMF,uniform,0.3,0,0.314044002627476,0.13167587476979742,0.1760152092544441
ORL,L1NormRegularizedNMF,uniform,0.3,42,0.24689547073218482,0.6388888888888888,0.8069404296438726
YaleB,L1NormRegularizedNMF,uniform,0.3,42,0.3128078542644153,0.12338858195211787,0.18094642064720787
ORL,L1NormRegularizedNMF,uniform,0.3,99,0.24542730342107474,0.6472222222222223,0.7963626806684813
YaleB,L1NormRegularizedNMF,uniform,0.3,99,0.31445869453975406,0.1445672191528545,0.18368339779829465
ORL,L1NormRegularizedNMF,uniform,0.3,512,0.24233930266876222,0.6666666666666666,0.8263334770263107
YaleB,L1NormRegularizedNMF,uniform,0.3,512,0.31237190572330303,0.13397790055248618,0.13327657654024438
ORL,L1NormRegularizedNMF,uniform,0.3,3407,0.24559558771208034,0.6611111111111111,0.8073738608362954
YaleB,L1NormRegularizedNMF,uniform,0.3,3407,0.3104491382752333,0.12430939226519337,0.16701241150609647
ORL,L1NormRegularizedNMF,gaussian,0.05,0,0.10380102083792082,0.7027777777777777,0.8375815486432174
YaleB,L1NormRegularizedNMF,gaussian,0.05,0,1.7988307546698268,0.0934622467771639,0.0763989235827802
ORL,L1NormRegularizedNMF,gaussian,0.05,42,0.11609965693251356,0.6944444444444444,0.8337754977044584
YaleB,L1NormRegularizedNMF,gaussian,0.05,42,0.8891889101643984,0.12338858195211787,0.16496636664268902
ORL,L1NormRegularizedNMF,gaussian,0.05,99,0.11075995456704432,0.6222222222222222,0.7840921717164065
YaleB,L1NormRegularizedNMF,gaussian,0.05,99,1.0812437794550052,0.1252302025782689,0.14150426957629011
ORL,L1NormRegularizedNMF,gaussian,0.05,512,0.10213833985064082,0.6444444444444445,0.7889400529271741
YaleB,L1NormRegularizedNMF,gaussian,0.05,512,1.0278256614109316,0.12384898710865562,0.14425032522603026
ORL,L1NormRegularizedNMF,gaussian,0.05,3407,0.13675655393730674,0.7111111111111111,0.8322752925931154
